Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Cart list with changing amount,Firefox 59.0,,2018-05-10 16:05:06,2018-05-10 16:06:00,53.636s,INCOMPLETE
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 16:05:06,2018-05-10 16:05:22,15.961s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 16:05:07,2018-05-10 16:05:13,5.875s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:05:13,2018-05-10 16:05:18,5.219s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:18,2018-05-10 16:05:18,0.142s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:18,2018-05-10 16:05:18,0.071s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:18,2018-05-10 16:05:19,0.613s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 16:05:19,2018-05-10 16:05:19,0.049s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:19,2018-05-10 16:05:20,1.771s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:20,2018-05-10 16:05:21,0.227s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:21,2018-05-10 16:05:21,0.227s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:21,2018-05-10 16:05:21,0.234s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:21,2018-05-10 16:05:21,0.230s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:21,2018-05-10 16:05:22,0.261s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.029s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.016s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.047s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.026s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.031s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.036s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.019s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.022s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.040s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.015s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.013s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.057s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.025s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.015s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.031s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.032s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.040s,PASSED
acceptAlert,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.027s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:22,0.274s,PASSED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:44,21.371s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 16:05:22,2018-05-10 16:05:28,6.080s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:05:28,2018-05-10 16:05:33,4.673s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:33,2018-05-10 16:05:33,0.080s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:33,2018-05-10 16:05:33,0.058s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:33,2018-05-10 16:05:34,0.671s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 16:05:34,2018-05-10 16:05:34,0.005s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:34,2018-05-10 16:05:44,9.786s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 16:05:44,2018-05-10 16:05:44,0.062s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 16:05:44,2018-05-10 16:05:44,0.056s,FAILED
,,,,,,
Test Cases/Test-Cart list,Firefox 59.0,,2018-05-10 16:05:44,2018-05-10 16:06:00,15.945s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 16:05:44,2018-05-10 16:05:49,5.011s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:05:49,2018-05-10 16:05:54,5.573s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:54,2018-05-10 16:05:54,0.079s,PASSED
setText,Firefox 59.0,,2018-05-10 16:05:54,2018-05-10 16:05:55,0.062s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:55,2018-05-10 16:05:55,0.587s,PASSED
waitForElementNotPresent,Firefox 59.0,,2018-05-10 16:05:55,2018-05-10 16:05:55,0.005s,PASSED
click,Firefox 59.0,,2018-05-10 16:05:55,2018-05-10 16:06:00,4.627s,FAILED
