Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Login,Firefox 59.0,,2018-05-10 14:55:56,2018-05-10 14:56:55,58.627s,PASSED
,,,,,,
Test Cases/Test-Login success,Firefox 59.0,,2018-05-10 14:55:56,2018-05-10 14:56:19,22.401s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:55:57,2018-05-10 14:56:02,5.631s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:56:02,2018-05-10 14:56:17,14.359s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:17,2018-05-10 14:56:17,0.120s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:17,2018-05-10 14:56:17,0.066s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:17,2018-05-10 14:56:17,0.458s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:17,2018-05-10 14:56:19,1.263s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:56:19,2018-05-10 14:56:19,0.274s,PASSED
,,,,,,
Test Cases/Test-Login success,Firefox 59.0,,2018-05-10 14:56:19,2018-05-10 14:56:37,17.955s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:56:19,2018-05-10 14:56:24,4.929s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:56:24,2018-05-10 14:56:35,10.766s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:35,2018-05-10 14:56:35,0.114s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:35,2018-05-10 14:56:35,0.074s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:35,2018-05-10 14:56:35,0.480s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:35,2018-05-10 14:56:36,1.274s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:56:36,2018-05-10 14:56:37,0.306s,PASSED
,,,,,,
Test Cases/Test-Login success,Firefox 59.0,,2018-05-10 14:56:37,2018-05-10 14:56:55,17.972s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 14:56:37,2018-05-10 14:56:42,4.718s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 14:56:42,2018-05-10 14:56:53,11.141s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:53,2018-05-10 14:56:53,0.087s,PASSED
setText,Firefox 59.0,,2018-05-10 14:56:53,2018-05-10 14:56:53,0.072s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:53,2018-05-10 14:56:53,0.435s,PASSED
click,Firefox 59.0,,2018-05-10 14:56:53,2018-05-10 14:56:55,1.263s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 14:56:55,2018-05-10 14:56:55,0.247s,PASSED
